case,policy,status,reached,collision,timeout,final_x,final_y,goal_dist_2d,min_obs_dist_2d,min_clearance_2d,robot_radius,obs_radius
front_static,author,timeout,0,0,1,2.891406775790101,1.9264162348998883,2.8560890909195673,1.7518699786394296,0.8861845536901914,0.3,0.5656854249492381
front_static,own1500,timeout,0,0,1,3.067762740307402,1.2965561913333479,2.326929045980817,1.49657948673053,0.6308940617812918,0.3,0.5656854249492381
front_static,dynstopfinal,timeout,0,0,1,2.838821687337127,1.866443519874396,2.8555740424659746,1.947476988865553,1.081791563916315,0.3,0.5656854249492381
front_oncoming,author,collision,1,1,0,4.162940130328846,0.37754912814979413,0.9182660668785265,0.1745250829739592,-0.691160341975279,0.3,0.5656854249492381
front_oncoming,own1500,collision,1,1,0,4.024302518513618,0.06214875099362277,0.9776748143574813,0.060256068608474427,-0.8054293563407637,0.3,0.5656854249492381
front_oncoming,dynstopfinal,collision,1,1,0,4.0129419199784095,0.1486651856870032,0.9981908588898516,0.0763359096910516,-0.7893495152581865,0.3,0.5656854249492381
cross_yneg_to_path,author,collision,1,1,0,4.193001461526892,0.48534707695381396,0.9417050632790204,0.4666440387881366,-0.3990413861611015,0.3,0.5656854249492381
cross_yneg_to_path,own1500,reached,1,0,0,4.022094619953417,0.05353972871841886,0.9793699172811541,0.9292016482644861,0.06351622331524809,0.3,0.5656854249492381
cross_yneg_to_path,dynstopfinal,reached,1,0,0,4.062006524538231,0.10248253782887554,0.943575344404831,0.9162208028074901,0.050535377858251906,0.3,0.5656854249492381
cross_ypos_to_path,author,reached,1,0,0,4.119928205034891,0.2669255571163056,0.9196605989901703,0.9295577879003766,0.06387236295113852,0.3,0.5656854249492381
cross_ypos_to_path,own1500,reached,1,0,0,4.035685433488046,0.029926295165394984,0.9647788173096793,0.8812407177491435,0.015555292799905307,0.3,0.5656854249492381
cross_ypos_to_path,dynstopfinal,reached,1,0,0,4.0337146788780815,0.09358897032217281,0.9708069927548182,0.9297701787304609,0.06408475378122269,0.3,0.5656854249492381
side_static_ypos,author,reached,1,0,0,4.021359528016813,0.026795021549357565,0.9790072249903501,1.5128672550778968,0.6471818301286586,0.3,0.5656854249492381
side_static_ypos,own1500,timeout,0,0,1,3.9352690597573963,-0.24852236310999765,1.093350511078527,1.8527263292788614,0.9870409043296232,0.3,0.5656854249492381
side_static_ypos,dynstopfinal,reached,1,0,0,4.0283025523974185,-0.07161316825777223,0.974332784804703,1.7374287997021607,0.8717433747529225,0.3,0.5656854249492381
